71,RUARAKA,AFYA HEALTH CARE
72,RUARAKA,ANNUNCIATION MISSION DISPENSARY
,,MWIHOKO
73,RUARAKA,DANDORA MEDICAL CENTRE
74,RUARAKA,DESTINY MEDICAL CENTRE
75,RUARAKA,FAMILY ACCESS MEDICAL CENTRE
76,RUARAKA,FOCUS MEDICAL AND REHABILITATION
,,CENTRE
77,RUARAKA,HOPE MEDICAL CLINIC
78,RUARAKA,HURUMA NURSING & MATERNITY HOME
79,RUARAKA,JAMII KIPAWA MEDICAL CENTRE
80,RUARAKA,JUJA ROAD HOSPITAL
81,RUARAKA,KAHAWA WENDANI HOSPITAL
82,RUARAKA,MARURA NURSING HOME
83,RUARAKA,MARURA NURSING HOME KARIOBANGI MED
,,CLINIC
84,RUARAKA,MEDIPOINT CLINIC
85,RUARAKA,MILELE INTERGRATED MEDICAL SERVICES
86,RUARAKA,MUNDIKA MATERNITY AND NURSING HOME
87,RUARAKA,NGUMBA CENTER AND LABORATORY
,,SERVICES
88,RUARAKA,NIMOLI MEDICAL SERVICES
89,RUARAKA,PARKROAD NURSING HOME (NAIROBI)
90,RUARAKA,PRIME HEALTH SERVICES
91,RUARAKA,RUARAKA UHAI NEEMA HOSPITAL
92,RUARAKA,SAMARITAN MEDICAL SERVICES
93,RUARAKA,ST. JOHN’S HOSPITAL LTD
94,RUARAKA,ST.FRANCIS COMMUNITY HOSPITAL
95,RUARAKA,STAR GENERAL MEDICAL CENTRE
96,RUARAKA,THIKA ROAD HEALTH SERVICES
97,RUARAKA,UZIMA DISPENSARY AND MATERNITY
98,WESTLANDS,AFRICARE LIMITED
99,WESTLANDS,AMURT HEALTH CARE
100,WESTLANDS,BLESSED LOUIS PALAZZOLO HEALTH
,,CENTER
101,WESTLANDS,KILELESHWA MEDICAL PLAZA
102,WESTLANDS,LIONS SIGHT FIRST EYE HOSPITAL
103,BURUBURU,MAMA LUCY KIBAKI HOSPITAL
104,EASTLEIGH,PUMWANI HOSPITAL MANAGEMENT BOARD
105,IND. AREA,ADMINISTRATION POLICE TRAINING
,,COLLEGE HEALTH CENTRE
106,IND. AREA,LOCO HEALTH CENTRE
107,NAIROBI,KENYATTA NATIONAL HOSPITAL (GENERAL
,,WARD
108,NAIROBI,MBAGATHI DISTRICT HOSPITAL
109,NAIROBI,NATIONAL SPINAL INJURY HOSPITAL
110,NAIROBI,WAITHAKA HEALTH CENTRE
111,ONGATARONGAI,LANGATA HEALTH CENTRE
112,RUARAKA,KAHAWA WEST HEALTH CENTRE
113,RUARAKA,KASARANI HEALTH CENTRE
114,RUARAKA,MATHARE HEALTH CARE
115,RUARAKA,MATHARE MENTAL HOSPITAL (GENERAL
,,WARD)
116,WESTLANDS,KAMITI HOSPITAL
117,WESTLANDS,KIHARA SUB-DISTRICT HOSPITAL
,,NAKURU COUNTY
1,NAIVASHA,ASN UPENDO VILLAGE
2,NAIVASHA,FINLAYS MEDICAL CENTRE
3,NAIVASHA,HOLY SPIRIT HEALTH CENTRE GILGIL
4,NAIVASHA,HOLY TRINITY H/C LONGONOT
5,NAIVASHA,LAKEVIEW MATERNITY & NURSING HOME
6,NAIVASHA,MAAI MAHIU MATERNITY AND HOSPITAL
7,NAIVASHA,MT. LONGONOT MEDICAL SERVICES
,,LIMITED
8,NAIVASHA,MULEMI MATERNITY NURSING HOME
9,NAIVASHA,NACOHAG MEDICAL CENTRE
10,NAIVASHA,NDONYO HEALTH CARE
11,NAIVASHA,NEW KIMILILI MEDICAL CLINIC
12,NAIVASHA,POLY-CLINIC HOSPITAL
13,NAIVASHA,QUALITY HEALTH CARE
14,NAIVASHA,VINET MEDICAL SERVICES
15,NAKURU,ADVENT MED & DENT CARE CENTRE
16,NAKURU,AFRAHA MATERNITY & NURSING HOME
17,NAKURU,AIC BETHSAIDA MEDICAL CENTRE
18,NAKURU,BARAKA MATERNITY NURSING HOME
19,NAKURU,BETHANIA MEDICAL CENTRE
20,NAKURU,ESTHER MEMORIAL MATERNITY HOME
21,NAKURU,EVANS SUNRISE MEDICAL CENTRE
22,NAKURU,FOUNTAIN MEDICAL CENTRE
23,NAKURU,GIBEA MEDICAL CENTRE
24,NAKURU,GREAT COMMISSION MEDICAL CENTRE
25,NAKURU,HURUMA DISPENSARY NJORO
26,NAKURU,KINGS MEDICAL CENTRE
27,NAKURU,KISHON HEALTH CENTRE
29,NAKURU,MOTHER KELVIN CATHOLIC HEALTH
,,CENTRE
30,NAKURU,NAKURU NURSING AND MATERNITY HOME
,,LTD.
31,NAKURU,NAKURU WAR MEMORIAL HOSPITAL
,,(NAKURU)
32,NAKURU,P.C.E.A. NAKURU WEST HOSPITAL
33,NAKURU,PRUDENT MEDICAL CENTRE AND
,,MATERNITY HOME
34,NAKURU,SISTER MAZZOLDI DISPENSARY AND
,,MATERNITY
35,NAKURU,ST ELIZABETH MEDICAL CENTRE
36,NAKURU,ST MARTIN DE PORRES
37,NAKURU,ST. ANTHONY HEALTH CENTRE
38,NAKURU,ST. JOSEPH’S NURSING AND MATERNITY
,,HOM
39,NAKURU,VALLEY HOSPITAL LIMITED
40,OLENGURUONE,TONYMED MEDICAL CLINIC
41,MOLO,SACHANGWAN HEALTH CENTRE
42,NAIVASHA,GETA BUSH HEALTH CENTRE
43,NAIVASHA,GILGIL SUB DISTRICT HOSPITAL
44,NAIVASHA,GK MEDIUM PRISONS DISPENSARY
45,NAIVASHA,KARAGITA HEALTH CENTRE
