27,ONGATA RONGAI,MATASIA NURSING HOME,KAJIADO COUNTY,
28,ONGATA RONGAI,MILIKI AFYA LIMITED,KAJIADO COUNTY,
29,ONGATA RONGAI,NGONG’ RAPHA HOSPITAL,KAJIADO COUNTY,
30,ONGATA RONGAI,ST. MARY’S HEALTH CENTRE - KISERIAN,KAJIADO COUNTY,
31,ONGATA RONGAI,WAMA NURSING HOME,KAJIADO COUNTY,
32,ONGATA RONGAI,ZAMZAM MEDICAL SERVICES,KAJIADO COUNTY,
33,ONGATA RONGAI,LANGATA HOSPITAL,KAJIADO COUNTY,
34,KAJIADO,BISSIL HEALTH CENTRE,KAJIADO COUNTY,
35,KAJIADO,ENTARA HEALTH CENTRE,KAJIADO COUNTY,
36,KAJIADO,IMMURTOT HEALTH CENTRE,KAJIADO COUNTY,
37,KAJIADO,KAJIADO DISTRICT HOSPITAL,KAJIADO COUNTY,
38,KAJIADO,KITENGELA SUB-DISTRICT HOSPITAL,KAJIADO COUNTY,
39,KAJIADO,NAMANGA HEALTH CENTRE,KAJIADO COUNTY,
40,KITENGELA,ENTARARA HEALTH CENTRE,KAJIADO COUNTY,
41,KITENGELA,ISINYA HEALTH CENTRE,KAJIADO COUNTY,
42,KITENGELA,KIMANA HEALTH CENTRE,KAJIADO COUNTY,
43,KITENGELA,LOITOKTOK DISTRICT HOSPITAL,KAJIADO COUNTY,
44,KITENGELA,MAKADARA HEALTH CARE,KAJIADO COUNTY,
45,ONGATA RONGAI,ENTASOPIA HEALTH CENTRE,KAJIADO COUNTY,
46,ONGATA RONGAI,KAREN HEALTH CENTRE,KAJIADO COUNTY,
47,ONGATA RONGAI,NGONG SUB-DISTRICT HOSPITAL,KAJIADO COUNTY,
48,ONGATA RONGAI,ONGATA RONGAI HEALTH CENTRE,KAJIADO COUNTY,
,KAKAMEGA COUNTY,
1,KAKAMEGA,CENTRAL MATERNITY & NURSING HOME,KAKAMEGA COUNTY,
2,KAKAMEGA,EQUATOR MEDICAL SERVICES,KAKAMEGA COUNTY,
4,KAKAMEGA,JUMUIA FRIENDS HOSPITAL,KAKAMEGA COUNTY,
5,KAKAMEGA,KAKAMEGA ORTHOPAEDIC HOSPITAL,KAKAMEGA COUNTY,
6,KAKAMEGA,LUPE MEDICAL CENTRE,KAKAMEGA COUNTY,
7,KAKAMEGA,NALA MATERNITY & NURSING HOME,KAKAMEGA COUNTY,
9,KAKAMEGA,ROYAL GARDENS HOSPITAL-KAKAMEGA,KAKAMEGA COUNTY,
10,KAKAMEGA,ST. CHARLES LWANGA HEALTH CENTRE,KAKAMEGA COUNTY,
11,KAKAMEGA,ST. ELIZABETH HOSPITAL (MUKUMU),KAKAMEGA COUNTY,
12,KAKAMEGA,ST. MARTHA’S CHIMOI HEALTH CENTRE,KAKAMEGA COUNTY,
13,KAKAMEGA,TROPICAL CLINIC KAKAMEGA,KAKAMEGA COUNTY,
14,MUMIAS,BUKAYA MEDICAL CENTRE,KAKAMEGA COUNTY,
16,MUMIAS,SONAK COMMUNITY MEDICAL CENTRE,KAKAMEGA COUNTY,
17,MUMIAS,ST. MARY’S HOSPITAL (MUMIAS),KAKAMEGA COUNTY,
18,KAKAMEGA,ADMINISTRATION POLICE DISPENSARY,KAKAMEGA COUNTY,
19,KAKAMEGA,BAHAI DISPENSARY,KAKAMEGA COUNTY,
20,KAKAMEGA,BANJA HEALTH CENTRE,KAKAMEGA COUNTY,
21,KAKAMEGA,BUKURA HEALTH CENTRE,KAKAMEGA COUNTY,
22,KAKAMEGA,BUKURA RURAL HEALTH DEMONSTRATION,KAKAMEGA COUNTY,
23,KAKAMEGA,BUSHIRI HEALTH CENTRE,KAKAMEGA COUNTY,
24,KAKAMEGA,CHOMBELI HEALTH CENTRE,KAKAMEGA COUNTY,
25,KAKAMEGA,EBUSIRATSI HEALTH CENTRE,KAKAMEGA COUNTY,
26,KAKAMEGA,EKWANDA HEALTH CENTRE,KAKAMEGA COUNTY,
