46,NAIVASHA,MAIMAHIU HEALTH CENTRE
47,NAIVASHA,MUNUNGA HEALTH CENTRE
48,NAIVASHA,NAIVASHA LEVEL IV HOSPITAL
49,NAKURU,BAHATI DISTRICT HOSPITAL
50,NAKURU,DUNDORI HEALTH CENTRE
51,NAKURU,EGERTON UNIVERSITY HEALTH CENTRE
52,NAKURU,ELBURGON NYAYO HOSPITAL
53,NAKURU,ENGASHURA HEALTH CENTRE
54,NAKURU,FOREST INDUSRIAL TRAINING CENTRE
55,NAKURU,KABARAK HEALTH CENTRE
56,NAKURU,KABAZI HEALTH CENTRE
57,NAKURU,KAMARA DISPENSARY
58,NAKURU,KAPSETEK DISPENSARY
59,NAKURU,KERINGET HEALTH CENTRE
60,NAKURU,KIPSYENANA DISPENSARY NAKURU
61,NAKURU,LALWET DISPENSARY
62,NAKURU,LANET HEALTH CENTRE
63,NAKURU,LANGA LANGA HEALTH CENTRE
64,NAKURU,LELCHWET HEALTH CENTRE
65,NAKURU,LENGINET DISPENSARY
66,NAKURU,LOWER SOLAI HEALTH CENTRE
67,NAKURU,MANGU DISPENSARY
68,NAKURU,MIRUGI KARIUKI DISPENSARY
69,NAKURU,MOGOTIO HEALTH CENTRE
70,NAKURU,MOLO DISTRICT HOSPITAL
71,NAKURU,MUACHE TAITA DISPENSARY
72,NAKURU,NAKURU PRISON HOSPITAL NAKURU
73,NAKURU,NAKURU WEST DISPENSARY
74,NAKURU,NESSUET DISPENSARY
75,NAKURU,NJ0RO HEALTH CENTRE
76,NAKURU,OGILGEI DISPENSARY
77,NAKURU,OLEGURUONE SUBDISTRICT HOSPITAL
78,NAKURU,PROVINCIAL GENERAL HOSP. ANNEX
,,NAKURU
79,NAKURU,RIFT VALLEY PROV. GENERAL HOSP.
,,NAKURU
80,NAKURU,RONGAI HEALTH CENTRE
81,NAKURU,STATE HOUSE DISPENSARY NAKURU
82,NAKURU,SUBUKIA HEALTH CENTRE
83,NAKURU,TUIYOTICH DISPENSARY
84,NAKURU,UPPER SOLAI HEALTH CENTRE
,,NANDI COUNTY
1,KAPSABET,BARATON JEREMIC COMMUNITY MEDICAL
,,CENTRE
2,KAPSABET,BETHESDA MEDICAL CLINIC
3,KAPSABET,KAIBOI MISSION HEALTH CENTRE
4,KAPSABET,KAPSABET HEALTH CARE CENTRE
5,KAPSABET,KOBUJOI MISSION HOSPITAL
6,KAPSABET,MOTHER FRANCISCA MATERNITY &
,,NURSING HOM
7,KAPSABET,ST. JOSEPH MISSION HOSPITAL
8,KAPSABET,CHEMASE HEALTH CENTRE
9,KAPSABET,CHEMUDU DISPENSARY
10,KAPSABET,CHEPKEMEL HEALTH CENTRE
11,KAPSABET,CHEPTERWAI SUB-DISTRICT HOSPITAL
12,KAPSABET,KABIEMIT DISPENSARY
13,KAPSABET,KABIYET HEALTH CENTRE
