9,KILIFI,PWANI MATERNITY AND NURSING HOME
10,MTWAPA,RGC OASIS MEDICAL CENTRE
11,MTWAPA,SWISS COTTAGE HOSPITAL
12,KILIFI,BAMBA SUB-DISTRICT HOSPITAL
13,KILIFI,CHASIMBA HEALTH CENTRE
14,KILIFI,GANZE HEALTH CENTRE
15,KILIFI,GOTANI MODEL HEALTH CENTRE
16,KILIFI,KILIFI DISTRICT HOSPITAL
17,KILIFI,MATSANGONI MODEL HEALTH CENTRE
18,KILIFI,VIPINGO HEALTH CENTRE
19,KILIFI,VITENGENI HEALTH CENTRE
20,MALINDI,GEDE HEALTH CENTRE
21,MALINDI,GONGONI HEALTH CENTRE
22,MALINDI,MALINDI DISTRICT HOSPITAL
23,MALINDI,MARAFA HEALTH CENTRE
24,MALINDI,MUYEYE HEALTH CENTRE
25,MALINDI,TAKAUNGU DISPENSARY
26,MTWAPA,MTWAPA HEALTH CENTRE
,,KIRINYAGA COUNTY
1,KERUGOYA,ACK MOUNT KENYA HOSPITAL
2,KERUGOYA,COMRADE NURSING HOME
3,KERUGOYA,KAGIO NURSING HOME
4,KERUGOYA,KERUGOYA CATHOLIC HEALTH CENTRE
5,KERUGOYA,KERUGOYA MEDICAL CENTRE
6,KERUGOYA,MWEA MEDICAL CENTRE
7,KERUGOYA,NGURUBANI MEDICAL SERVICES
8,KERUGOYA,OUR LADY OF LOURDES MWEA HOSPITAL
9,KERUGOYA,KERUGOYA DISTRICT HOSPITAL
10,KERUGOYA,KIANYAGA SUB-DISTRICT HOSPITAL
11,KERUGOYA,KIMBIMBI SUB-DISTRICT HOSPITAL
12,KERUGOYA,KUTUS DISPENSARY
13,KERUGOYA,THIBA HEALTH CENTRE
,,KISII COUNTY
1,KISII,BOSONGO MEDICAL CENTRE
2,KISII,GETEMBE NURSING HOME
3,KISII,GUCHA COTTAGE MATERNITY & NURSING
,,HOME
4,KISII,ISANA NURSING HOME
5,KISII,NYANCHWA ADVENTIST MEDICAL CENTRE
6,KISII,NYANGENA HOSPITAL
7,KISII,OASIS DOCTOR’S PLAZA
8,KISII,OGEMBO MEDICAL CENTRE
